name,animal_type,breed,시도,시군구,동,lat,lon
부산동물보호센터,강아지,"말티즈,푸들,비숑 프리제",부산광역시,강서구,대저2동,35.1802,128.9606
동부유기동물보호협회,고양이,"코리안 숏헤어,러시안 블루,먼치킨",부산광역시,해운대구,송정동,35.1948,129.2063
부산유기동물보호센터,강아지,"포메라니안,치와와,웰시 코기",부산광역시,강서구,대저2동,35.1802,128.9606
부산 강서구 유기동물보호소,고양이,"브리티시 숏헤어,샴,버만",부산광역시,강서구,대저2동,35.1513,128.9396
부산 동래구 유기동물보호소,강아지,"보더 콜리,비글,코커 스패니얼",부산광역시,동래구,복천동,35.2049,129.0836
해운대 유기동물 입양센터,고양이,"랙돌,메인쿤,노르웨이 숲",부산광역시,해운대구,송정동,35.1903,129.2026
부산 금정구 유기동물보호소,강아지,"골든 리트리버,래브라도 리트리버,시바 이누",부산광역시,금정구,부곡동,35.2421,129.0927
도그마루보호소 부산,고양이,"싱가푸라,데본 렉스,아메리칸 숏헤어",부산광역시,북구,화명동,35.2329,129.01382
부산 남구 유기동물보호소,강아지,"벵갈,사바나 캣,스코티시 폴드",부산광역시,남구,대연동,35.1366,129.0840
도그쇼 부산본점,고양이,"시베리안 허스키,도베르만,저먼 셰퍼드",부산광역시,부산진구,양정동,35.1624,129.0531
부산 동구 유기동물보호소,강아지,"말티즈,포메라니안,푸들",부산광역시,동구,양정,35.1703,129.0677
부산 서구 유기동물보호소,고양이,"코리안 숏헤어,러시안 블루,브리티시 숏헤어",부산광역시,서구,토성동,35.0979,129.0240
부산 영도구 유기동물보호소,강아지,"비숑 프리제,치와와,비글",부산광역시,영도구,신창동,35.0912,129.0678
미유펫 부산본점,고양이,"랙돌,샴,싱가푸라",부산광역시,연제구,연산동,35.1832,129.0798
하우스퍼피,강아지,"웰시 코기,골든 리트리버,보더 콜리",부산광역시,사하구,장림동,35.0798,128.9695
